"Baseball Team Name","Affiliate: Baseball Team Name","Capacity","Conference","Division","Established","League","Photo","Photo Color","Stadium Address","Stadium Location (Latitude)","Stadium Location (Longitude)","Stadium"
"Lakeland Flying Tigers","Detroit Tigers","8500","Florida State League","North","1960","A+","Tigers/FlyingTigers-Logo.png","#273e6c","2301 Lakeland Hills Blvd, Lakeland, FL 33805","28.075","-81.951","Joker Marchant Stadium"
"Lakewood BlueClaws","Philadelphia Phillies","8000","South Atlantic League","Northern","2001","A","Phillies/BlueClaws-Logo.png","#002b5c","2 Stadium Way, Lakewood, NJ 08701","40.075","-74.188","FirstEnergy Park"
"Lancaster JetHawks","Colorado Rockies","4500","California League","South","1955","A+","Rockies/JetHawks-Logo.png","#002d62","45116 Valley Central Way, Lancaster, CA 93536","34.703","-118.173","The Hangar"
"Lansing Lugnuts","Toronto Blue Jays","7527","Midwest League","Eastern","1955","A","BlueJays/Lugnuts-Logo.png","#cf4044","505 E Michigan Ave, Lansing, MI 48912","42.734","-84.546","Cooley Law School Stadium"
"Las Vegas Aviators","Oakland Athletics","10000","Pacific Coast League","Pacific Southern","1983","AAA","Athletics/Aviators-Logo.jpg","#ef5122","1650 S Pavilion Center Dr, Las Vegas, NV 89135","36.153","-115.329","Las Vegas Ballpark"
"Lehigh Valley IronPigs","Philadelphia Phillies","10178","International League","North","1993","AAA","Phillies/IronPigs-Logo.png","","1050 Ironpigs Way, Allentown, PA 18109","40.626","-75.453","Coca-Cola Park"
"Lexington Legends","Kansas City Royals","6994","South Atlantic League","Southern","2001","A","Royals/Legends-Logo.png","#00a160","207 Legends Ln, Lexington, KY 40505","38.066","-84.478","Whitaker Bank Ballpark"
"Los Angeles Angels","","45050","American League","AL West","1961","MLB","Angels/Angles-Logo.png","#ba0021","2000 E Gene Autry Way, Anaheim, CA 92806","33.800","-117.883","Angel Stadium"
"Los Angeles Dodgers","","56000","National League","NL West","1883","MLB","Dodgers/Dodgers-Logo.png","#00599d","1000 Vin Scully Ave, Los Angeles, CA 90012","34.074","-118.240","Dodger Stadium"
"Louisville Bats","Cincinnati Reds","13131","International League","West","1982","AAA","Reds/Bats-Logo.jpg","","401 E Main St, Louisville, KY 40202","38.256","-85.744","Louisville Slugger Field"
"Lowell Spinners","Boston Red Sox","5030","New York?Penn League","Stedler","1996","SS","RedSox/Spinners-Logo.jpg","#e41937","450 Aiken St, Lowell, MA 01854","42.654","-71.318","Edward A. LeLacheur Park"
"Lynchburg Hillcats","Cleveland Indians","3811","Carolina League","Northern","1963","A+","Indians/Hillcats-Logo.png","#002d62","3176 Fort Ave, Lynchburg, VA 24501","37.393","-79.166","City Stadium Complex"
"Mahoning Valley Scrappers","Cleveland Indians","6000","New York?Penn League","Pinckney","1999","SS","Indians/Scrappers-Logo.png","#810b32","111 Eastwood Mall Blvd, Niles, OH 44446","41.219","-80.755","Eastwood Field"
"Memphis Redbirds","St. Louis Cardinals","10000","Pacific Coast League","American Northern","1998","AAA","Cardinals/Redbirds-Logo.png","#d31044","200 Union Ave, Memphis, TN 38103","35.143","-90.050","AutoZone Park"
"Miami Marlins","","36742","National League","NL East","1993","MLB","Marlins/Marlins-Logo.png","#00a4e1","501 Marlins Way, Miami, FL 33125","25.778","-80.220","Marlins Park"
"Midland RockHounds","Oakland Athletics","4709","Texas League","South","1972","AA","Athletics/RockHounds-Logo.png","#0e6fab","5514 Champions Drive Midland, Texas","31.987","-102.155","Security Bank Ballpark"
"Milwaukee Brewers","","41900","National League","NL Central","1969","MLB","Brewers/Brewers-Logo.png","#0a234a","1 Brewers Way, Milwaukee, WI 53214","43.028","-87.971","Miller Park"
"Minnesota Twins","","44152","American League","AL Central","1901","MLB","Twins/Twins-Logo.png","#00275c","1 Twins Way, Minneapolis, MN 55403","44.982","-93.278","Target Field"
"Mississippi Braves","Atlanta Braves","8480","Southern League","South","2005","AA","Braves/Mississippi-Logo.png","#c81645","1 Braves Blvd, Pearl, MS 39208","32.274","-90.148","Trustmark Park"
"Missoula PaddleHeads","Arizona Diamondbacks","3500","Pioneer League","North","1987","R","Diamondbacks/PaddleHeads-Logo.jpg","#083f30","700 Cregg Ln, Missoula, MT 59801","46.874","-114.007","Ogren Park at Allegiance Field"
"Modesto Nuts","Seattle Mariners","4000","California League","North","1956","A+","Mariners/Nuts-Logo.png","#a51b34","601 Neece Dr, Modesto, CA 95351","37.622","-121.001","John Thurman Field"
"Montgomery Biscuits","Tampa Bay Rays","7000","Southern League","South","1973","AA","Rays/Biscuits-Logo.png","#00235d","200 Coosa St, Montgomery, AL 36104","32.381","-86.311","Riverwalk Stadium"
"Myrtle Beach Pelicans","Chicago Cubs","6599","Carolina League","Southern","1999","A+","Cubs/Pelicans-Logo.png","#1a2e5a","1251 21st Ave N, Myrtle Beach, SC 29577","33.712","-78.885","TicketReturn.com Field"
"Nashville Sounds","Texas Rangers","10000","Pacific Coast League","American Northern","1978","AAA","Rangers/Sounds-Logo.png","#dd1a32","19 Jr Gilliam Way, Nashville, TN 37219","36.172","-86.785","First Tennessee Park"
"New Hampshire Fisher Cats","Toronto Blue Jays","7500","Eastern League","Eastern","1994","AA","BlueJays/FisherCats-Logo.png","#0a2f5f","1 Line Dr, Manchester, NH 03101","42.981","-71.466","Northeast Delta Dental Stadium"
"New York Mets","","41922","National League","NL East","1962","MLB","Mets/Mets-Logo.png","#072e75","41 Seaver Way, Queens, NY 11368","40.757","-73.846","Citi Field"
"New York Yankees","","54251","American League","AL East","1901","MLB","Yankees/Yankees-Logo.png","#153488","1 E 161 St, The Bronx, NY 10451","40.830","-73.926","Yankee Stadium"
"Norfolk Tides","Baltimore Orioles","11856","International League","South","1961","AAA","Orioles/Tides-Logo.png","#00994c","150 Park Ave, Norfolk, VA 23510","36.843","-76.279","Harbor Park Stadium"
"Northwest Arkansas Naturals","Kansas City Royals","7305","Texas League","North","2008","AA","Royals/Naturals-Logo.png","#373e69","3000 Gene George Blvd, Springdale, AR 72762","36.160","-94.195","Arvest Ballpark"
"Norwich Sea Unicorns","Detroit Tigers","6270","New York?Penn League","Stedler","2010","SS","Tigers/SeaUnicorns-Logo.png","#172849","14 Stott Ave, Norwich, CT 06360","41.574","-72.107","Senator Thomas J Dodd Memorial Stadium"
"Oakland Athletics","","63132","American League","AL West","1901","MLB","Athletics/Athletics-Logo.png","#044b3b","7000 Coliseum Way, Oakland, CA 94621","37.752","-122.201","Oakland Coliseum"
"Ogden Raptors","Los Angeles Dodgers","8262","Pioneer League","South","1977","R","Dodgers/Raptors-Logo.png","#0b838f","2330 Lincoln Ave, Ogden, UT 84401","41.224","-111.975","Lindquist Field"
"Oklahoma City Dodgers","Los Angeles Dodgers","13066","Pacific Coast League","American Southern","1962","AAA","Dodgers/OKC-Logo.jpg","#013378","2 S Mickey Mantle Dr, Oklahoma City, OK 73104","35.465","-97.508","Chickasaw Bricktown Ballpark"
"Omaha Storm Chasers","Kansas City Royals","9023","Pacific Coast League","American Northern","1969","AAA","Royals/StormChasers-Logo.jpg","#090808","12356 Ballpark Way, Papillion, NE 68046","41.151","-96.107","Werner Park"
"Orem Owlz","Los Angeles Angels","5000","Pioneer League","South","2001","R","Angels/Owlz-Logo.png","#18325b","800 W University Pkwy, Orem, UT 84058","40.277","-111.718","UCCU Ballpark"
"Palm Beach Cardinals","St. Louis Cardinals","6871","Florida State League","South","2003","A+","Cardinals/PalmBeach-Logo.png","#c31f4b","4751 Main St, Jupiter, FL 33458","26.890","-80.117","Roger Dean Stadium"
"Pawtucket Red Sox","Boston Red Sox","10031","International League","North","1970","AAA","RedSox/Pawtucket-Logo.jpg","#cf1f30","1 Columbus Ave, Pawtucket, RI 02860","41.873","-71.370","McCoy Stadium"
"Pensacola Blue Wahoos","Minnesota Twins","5038","Southern League","South","2012","AA","Twins/BlueWahoos-Logo.png","#0b376f","351 W Cedar St, Pensacola, FL 32502","30.404","-87.219","Admiral Fetterman Field"
"Peoria Chiefs","St. Louis Cardinals","7500","Midwest League","Western","1983","A","Cardinals/Chiefs-Logo.png","#155dab","730 SW Jefferson Ave, Peoria, IL 61605","40.688","-89.598","Dozer Park"
"Philadelphia Phillies","","43035","National League","NL East","1883","MLB","Phillies/Phillies-Logo.png","#043b73","1 Citizens Bank Way, Philadelphia, PA 19148","39.906","-75.166","Citizens Bank Park"
"Pittsburgh Pirates","","38362","National League","NL Central","1882","MLB","Pirates/Pirates-Logo.png","#fcb424","115 Federal St, Pittsburgh, PA 15212","40.447","-80.006","PNC Park"
"Portland Sea Dogs","Boston Red Sox","7368","Eastern League","Eastern","1994","AA","RedSox/SeaDogs-Logo.png","#c94443","271 Park Ave, Portland, ME 04102","43.657","-70.278","Hadlock Field"
"Princeton Rays","Tampa Bay Rays","1700","Appalachian League","East","1988","R","Rays/Princeton-Logo.png","#0b366b","1321 Stafford Dr, Princeton, WV 24740","37.358","-81.103","Hunnicutt Stadium"
"Pulaski Yankees","New York Yankees","2500","Appalachian League","East","1942","R","Yankees/Pulaski-Logo.png","#002a5c","700 S Washington Ave, Pulaski, VA 24301","37.039","-80.776","Calfee Park"
"Quad Cities River Bandits","Houston Astros","4024","Midwest League","Western","1901","A","Astros/RiverBandits-Logo.png","#312328","209 S Gaines St, Davenport, IA 52802","41.518","-90.582","Modern Woodmen Park"
"Rancho Cucamonga Quakes","Los Angeles Dodgers","6588","California League","South","1966","A+","Dodgers/Quakes-Logo.jpg","#094882","8408 Rochester Ave, Rancho Cucamonga, CA 91730","34.103","-117.547","LoanMart Field"
"Reading Fightin Phils","Philadelphia Phillies","9000","Eastern League","Eastern","1967","AA","Phillies/FightinPhils-Logo.png","#103268","1900 Centre Ave, Reading, PA 19601","40.366","-75.934","FirstEnergy Stadium"
"Reno Aces","Arizona Diamondbacks","9013","Pacific Coast League","Pacific Northern","2009","AAA","Diamondbacks/Aces-Logo.png","#092e5e","250 Evans Ave, Reno, NV 89501","39.529","-119.808","Greater Nevada Field"
"Richmond Flying Squirrels","San Fransisco Giants","9560","Eastern League","Western","2010","AA","Giants/Squirrels-Logo.png","#d01443","3001 N Arthur Ashe Blvd, Richmond, VA 23220","37.572","-77.464","The Diamond"
"Rochester Red Wings","Minnesota Twins","13500","International League","North","1989","AAA","Twins/RedWings-Logo.png","#e23025","One Morrie Silver Way, Rochester, NY 14608","43.158","-77.619","Frontier Field"
"Rocket City Trash Pandas","Los Angeles Angels","7000","Southern League","North","2020","AA","Angels/TrashPandas-Logo.png","#2b2529","319 Contec Rd, Madison, AL 35758","34.685","-86.727","Madison Ballpark"
"Rocky Mountain Vibes","Milwaukee Brewers","8500","Pioneer League","South","2019","R","Brewers/Vibes-Logo.jpg","#0e3366","4385 Tutt Blvd, Colorado Springs, CO 80922","38.895","-104.711","Security Service Field"
"Rome Braves","Atlanta Braves","5105","South Atlantic League","Southern","2003","A","Braves/Rome-Logo.png","#cc1244","755 Braves Blvd NE, Rome, GA 30161","34.286","-85.167","State Mutual Stadium"
"Round Rock Express","Houston Astros","11631","Pacific Coast League","American Southern","2000","AAA","Astros/Express-Logo.png","#0d2047","3400 E Palm Valley Blvd, Round Rock, TX 78665","30.528","-97.630","Dell Diamond"
"Sacramento River Cats","San Fransisco Giants","14014","Pacific Coast League","Pacific Northern","2000","AAA","Giants/RiverCats-Logo.png","#1e1f1f","400 Ballpark Dr, West Sacramento, CA 95691","38.581","-121.514","Raley Field"
"Salem-Keizer Volcanoes","San Fransisco Giants","4254","Northwest League","South","1997","SS","Giants/Volcanoes-Logo.png","#ee3424","6700 Field Of Dreams Way Northeast, Keizer, OR 97303","45.015","-122.994","Volcanoes Stadium"
"Salem Red Sox","Boston Red Sox","6300","Carolina League","Northern","1955","A+","RedSox/Salem-Logo.png","#0d2a4d","1008 Texas St, Salem, VA 24153","37.286","-80.037","Haley Toyota Field"
"Salt Lake Bees","Los Angeles Angels","14511","Pacific Coast League","Pacific Southern","1994","AAA","Angels/SaltLakeBees-Logo.png","#2c2425","77 West 1300 S, Salt Lake City, UT 84115","40.741","-111.893","Smith's Ballpark"
"San Antonio Missions","Milwaukee Brewers","9200","Pacific Coast League","American Southern","1888","AAA","Brewers/Missions-Logo.jpg","#11233f","5757 US-90 W, San Antonio, TX 78227","29.409","-98.601","Nelson W. Wolff Municipal Stadium"
"San Diego Padres","","42445","National League","NL West","1969","MLB","Padres/Padres-Logo.png","#2f241d","100 Park Blvd, San Diego, CA 92101","32.708","-117.157","Petco Park"
"San Fransisco Giants","","41915","National League","NL West","1883","MLB","Giants/Giants-Logo.png","#fe5a1d","24 Willie Mays Plaza, San Francisco, CA 94107","37.779","-122.389","Oracle Park"
"San Jose Giants","San Fransisco Giants","4200","California League","North","1962","A+","Giants/SanJose-Logo.png","#231f20","588 E Alma Ave, San Jose, CA 95112","37.320","-121.862","Excite Ballpark"
"Scranton/Wilkes-Barre RailRiders","New York Yankees","10000","International League","North","1989","AAA","Yankees/RailRiders-Logo.png","#0e2f5b","235 Montage Mountain Rd, Moosic, PA 18507","41.361","-75.684","PNC Field"
"Seattle Mariners","","47943","American League","AL West","1977","MLB","Mariners/Mariners-Logo.png","#003263","1250 1st Ave S, Seattle, WA 98134","47.591","-122.333","Safeco Field"
"South Bend Cubs","Chicago Cubs","5000","Midwest League","Eastern","1988","A","Cubs/SouthBend-Logo.png","#315794","501 W South St, South Bend, IN 46601","41.670","-86.256","Four Winds Field"
"Spokane Indians","Texas Rangers","6803","Northwest League","North","1898","SS","Rangers/Indians-Logo.png","#093268","602 N Havana St, Spokane Valley, WA 99212","47.662","-117.346","Avista Stadium"
"Springfield Cardinals","St. Louis Cardinals","10486","Texas League","North","2005","AA","Cardinals/Springfield-Logo.png","#d31245","955 E Trafficway St, Springfield, MO 65802","37.212","-93.279","Hammons Field"
"St. Louis Cardinals","","45538","National League","NL Central","1882","MLB","Cardinals/Cardinals-Logo.png","#b81b21","700 Clark Ave, St. Louis, MO 63102","38.623","-90.193","Busch Stadium"
"St. Lucie Mets","New York Mets","7160","Florida State League","South","1988","A+","Mets/StLucie-Logo.png","#084d8b","31 Piazza Dr., Port St. Lucie, FL 34986","27.325","-80.405","First Data Field"
"State College Spikes","St. Louis Cardinals","5570","New York?Penn League","Pinckney","1958","SS","Cardinals/Spikes-Logo.png","#103162","701 Porter Rd, State College, PA 16801","40.812","-77.853","Medlar Field at Lubrano Park"
"Staten Island Yankees","New York Yankees","7171","New York?Penn League","McNamara","1999","SS","Yankees/StatenIsland-Logo.png","#083c67","75 Richmond Terrace, Staten Island, NY 10301","40.646","-74.077","Richmond County Bank Ballpark"
"Stockton Ports","Oakland Athletics","5200","California League","North","1941","A+","Athletics/Ports-Logo.png","#ce0e2d","404 W Fremont St, Stockton, CA 95203","37.955","-121.297","Banner Island Ballpark"
"Syracuse Mets","New York Mets","11071","International League","North","1934","AAA","Mets/Syracuse-Logo.png","#004b8d","1 Tex Simone Dr, Syracuse, NY 13208","43.079","-76.165","NBT Bank Stadium"
"Tacoma Rainiers","Seattle Mariners","6500","Pacific Coast League","Pacific Northern","1960","AAA","Mariners/Rainiers-Logo.png","#e31837","2502 S Tyler St, Tacoma, WA 98405","47.238","-122.498","Cheney Stadium"
"Tampa Bay Rays","","42735","American League","AL East","1998","MLB","Rays/Rays-Logo.png","#041e42","1 Tropicana Dr., St. Petersburg, FL 33705","27.768","-82.653","Tropicana Field"
"Tampa Tarpons","New York Yankees","11026","Florida State League","North","1994","A+","Yankees/Tarpons-Logo.png","#2b3b59","1 Steinbrenner Dr, Tampa, FL 33614","27.980","-82.507","George M. Steinbrenner Field"
"Tennessee Smokies","Chicago Cubs","6412","Southern League","North","1921","AA","Cubs/Smokies-Logo.png","#015696","3540 Line Dr, Kodak, TN 37764","35.989","-83.605","Smokies Stadium"
"Texas Rangers","","49115","American League","AL West","1972","MLB","Rangers/Rangers-Logo.png","#c10919","1000 Ballpark Way, Arlington, TX 76011","32.751","-97.083","Globe Life Park"
"Toledo Mud Hens","Detroit Tigers","10300","International League","West","1883","AAA","Tigers/MudHens-Logo.png","#001d4b","406 Washington St, Toledo, OH 43604","41.649","-83.539","Fifth Third Field"
"Toronto Blue Jays","","53506","American League","AL East","1977","MLB","BlueJays/BlueJays-Logo.png","#14508f","1 Blue Jays Way, Toronto, ON M5V 1J1, Canada","43.642","-79.389","Rogers Centre"
"Trenton Thunder","New York Yankees","6150","Eastern League","Eastern","1980","AA","Yankees/Thunder-Logo.png","#0068b4","1 Thunder Rd, Trenton, NJ 08611","40.204","-74.761","Arm and Hammer Park"
"Tri-City Dust Devils","San Diego Padres","3654","Northwest League","North","2001","SS","Padres/DustDevils-Logo.png","#002e62","6200 Burden Blvd, Pasco, WA 99301","46.267","-119.172","Gesa Stadium"
"Tri-City ValleyCats","Houston Astros","4500","New York?Penn League","Stedler","2002","SS","Astros/ValleyCats-Logo.png","#e41934","80 Vandenburgh Ave, Troy, NY 12180","42.696","-73.680","Joseph L. Bruno Stadium"
"Tulsa Drillers","Los Angeles Dodgers","7833","Texas League","North","1977","AA","Dodgers/Drillers-Logo.png","#013595","201 N Elgin Ave, Tulsa, OK 74120","36.160","-95.988","ONEOK Field"
"Vancouver Canadians","Toronto Blue Jays","6500","Northwest League","North","1978","SS","BlueJays/Canadians-Logo.png","#ed174f","4601 Ontario St, Vancouver, BC V5V 3H4, Canada","49.243","-123.106","Nat Bailey Stadium"
"Vermont Lake Monsters","Oakland Athletics","4415","New York?Penn League","Stedler","1994","SS","Athletics/LakeMonsters-Logo.png","#073167","98 University Rd, Burlington, VT 05401","44.482","-73.188","Centennial Field"
"Visalia Rawhide","Arizona Diamondbacks","2468","California League","North","1946","A+","Diamondbacks/Rawhide-Logo.png","#d31245","300 N Giddings St, Visalia, CA 93291","36.332","-119.305","Recreation Ballpark"
"Washington Nationals","","41313","National League","NL East","1969","MLB","Nationals/Nationals-Logo.png","#0c214a","1500 S Capitol St SE, Washington, DC 20003","38.873","-77.007","Nationals Park"
"West Michigan Whitecaps","Detroit Tigers","8942","Midwest League","Eastern","1994","A","Tigers/Whitecaps-Logo.jpg","#04458c","4500 W River Dr NE, Comstock Park, MI 49321","43.041","-85.659","Fifth Third Ballpark"
"West Virginia Black Bears","Pittsburgh Pirates","3500","New York?Penn League","Pinckney","2015","SS","Pirates/BlackBears-Logo.png","#211f20","2040 Gyorko Dr, Granville, WV 26534","39.643","-79.996","Monongalia County Ballpark"
"West Virginia Power","Seattle Mariners","4500","South Atlantic League","Northern","1987","A","Mariners/Power-Logo.png","#231f20","601 Morris St, Charleston, WV 25301","38.349","-81.625","Appalachian Power Park"
"Wichita Wind Surge","Miami Marlins","10000","Pacific Coast League","American Southern","1993","AAA","Marlins/WindSurge-Logo.png","#002c5b","300 S Sycamore St, Wichita, KS 67213","37.681","-97.345","New Wichita Ballpark"
"Williamsport Crosscutters","Philadelphia Phillies","2366","New York?Penn League","Pinckney","1994","SS","Phillies/Crosscutters-Logo.jpg","#062d64","1700 W 4th St, Williamsport, PA 17701","41.242","-77.047","Bowman Field"
"Wilmington Blue Rocks","Kansas City Royals","6532","Carolina League","Northern","1993","A+","Royals/BlueRocks-Logo.png","#002d62","801 Shipyard Dr, Wilmington, DE 19801","39.732","-75.564","Daniel S Frawley Stadium"
"Winston-Salem Dash","Chicago White Sox","5500","Carolina League","Southern","1945","A+","WhiteSox/Dash-Logo.png","#522e90","951 Ballpark Way, Winston-Salem, NC 27101","36.092","-80.255","BB&T Ballpark"
"Wisconsin Timber Rattlers","Milwaukee Brewers","5900","Midwest League","Western","1891","A","Brewers/TimberRattlers-Logo.png","#860038","2400 N Casaloma Dr, Appleton, WI 54913","44.283","-88.469","Fox Cities Stadium"
